序号,学科门类,项目名称,项目名称分词,项目类别,申请人,学校名称,省份,地区,学校标签
920,经济学,主体功能区视角下产销区省际横向利益补偿机制设计与策略优化研究,主体 功能区 视角 下产 销区 省际 横向 利益 补偿 机制 设计 策略 优化 研究,规划基金项目,张广辉,辽宁大学,辽宁,东部,双一流
921,经济学,家庭金融脆弱性影响居民消费的机制、效应与对策研究,家庭 金融 脆弱性 影响 居民 消费 机制 效应 对策 研究,规划基金项目,徐鹏杰,聊城大学,山东,东部,普通院校
922,经济学,城乡融合与乡村振兴协同驱动下闲置宅基地“活化”机制构建及路径优化研究,城乡 融合 乡村 振兴 协同 驱动 下闲 置宅 基地 活化 机制 构建 路径 优化 研究,规划基金项目,郭玲霞,洛阳师范学院,河南,中部,普通院校
923,经济学,“双循环”新发展格局促进区域共同富裕的路径与机制研究,双循环 发展 格局 促进 区域 共同 富裕 路径 机制 研究,青年基金项目,李昕昊,吕梁学院,山西,中部,普通院校
924,经济学,复杂适应性系统视角下长三角城市群关键核心技术涌现式创新的突破路径与策略体系研究,复杂 适应性 系统 视角 下长 三角城 市群 关键 核心 技术 涌现式 创新 突破 路径 策略 体系 研究,规划基金项目,孔群喜,南京财经大学,江苏,东部,普通院校
925,经济学,企业高质量创新的政策靶向性研究——以药品集中带量采购为例,企业 质量 创新 政策 靶向性 研究 —— 药品 集中 带量 采购,规划基金项目,张海峰,南京财经大学,江苏,东部,普通院校
926,经济学,数实双重集聚影响制造业创新生态系统能级跃迁的机理与路径研究,数实 双重 集聚 影响 制造业 创新 生态 系统 跃迁 机理 路径 研究,规划基金项目,胡雅蓓,南京财经大学,江苏,东部,普通院校
927,经济学,农户绿色生产转型同群效应及其福利影响研究,农户 绿色 生产 转型 同群 效应 及其 福利 影响 研究,青年基金项目,解春艳,南京工程学院,江苏,东部,普通院校
928,经济学,中国农户信用贷款风险控制策略研究：有效性评估与化险机制,中国 农户 信用 贷款 风险 控制 策略 研究 有效性 评估 化险 机制,规划基金项目,张宁,南京农业大学,江苏,东部,双一流
929,经济学,双链融合视角下生猪“保险+期货”的定价建模、效应评估和提升路径研究,双链 融合 视角 下生 保险 期货 定价 建模 效应 评估 提升 路径 研究,青年基金项目,卞华斌,南京农业大学,江苏,东部,双一流
930,经济学,后危机时代中国居民收入差距：开放经济视角下的演变、成因与政策优化,危机 时代 中国 居民 收入 差距 开放 经济 视角 演变 成因 政策 优化,青年基金项目,左丛民,南京农业大学,江苏,东部,双一流
931,经济学,数智赋能农业产业集群融资的机制及效果研究,智赋 农业 产业 集群 融资 机制 效果 研究,青年基金项目,李冰,南京农业大学,江苏,东部,双一流
932,经济学,家庭风险资产配置及财富积累——基于生命周期框架的理论与实证研究,家庭 风险 资产 配置 财富 积累 —— 基于 生命 周期 框架 理论 实证 研究,青年基金项目,王玉婷,南京审计大学,江苏,东部,普通院校
933,经济学,人工智能对城市技能工资溢价的影响机制及对策研究,人工 智能 城市 技能 工资 溢价 影响 机制 对策 研究,青年基金项目,武小菲,南京审计大学,江苏,东部,普通院校
934,经济学,高温天气、供应链冲击与企业绩效：效应评估、作用机制与对策研究,高温 天气 供应链 冲击 企业 绩效 效应 评估 作用 机制 对策 研究,规划基金项目,姜磊,南开大学,天津,东部,双一流
935,经济学,中国一东盟数据跨境流通的安全风险与治理体系,中国 东盟 数据 跨境 流通 安全 风险 治理 体系,规划基金项目,李世杰,南开大学,天津,东部,双一流
936,经济学,创新型货币政策的信心传导渠道研究,创新型 货币 政策 信心 传导 渠道 研究,规划基金项目,赵胜民,南开大学,天津,东部,双一流
937,经济学,社会网络视角下人员跨境流动对国际供应链韧性的影响研究,社会 网络 视角 人员 跨境 流动 国际 供应 链韧性 影响 研究,青年基金项目,熊治,南开大学,天津,东部,双一流
938,经济学,高耗能企业碳风险传染与风险溢出研究,高耗能 企业 风险 传染 风险 溢出 研究,规划基金项目,李明昕,内蒙古科技大学,内蒙古,西部,普通院校
939,经济学,长三角乡村运营梯度发展机制与路径耦合研究,三角乡村 运营 梯度 发展 机制 路径 耦合 研究,规划基金项目,葛云锋,宁波财经学院,浙江,东部,普通院校
940,经济学,中美半导体供应链安全研究：风险机制识别与国产替代路径评估,半导体 供应链 安全 研究 风险 机制 识别 国产 替代 路径 评估,规划基金项目,周新苗,宁波大学,浙江,东部,双一流
941,经济学,西方“避开中国”下AI大模型助力中国跨境电商市场势力提升的现实障碍与突围路径研究,西方 避开 中国 大模型 助力 中国 跨境 电商 市场 势力 提升 现实 障碍 突围 路径 研究,青年基金项目,杜培良,青岛城市学院,山东,东部,普通院校
942,经济学,大都市圈农村宅基地盘活赋能和美乡村建设面临的障碍与突破路径研究,都市圈 农村 宅基地 盘活 赋能 美乡村 建设 面临 障碍 突破 路径 研究,规划基金项目,苗启香,青岛城市学院,山东,东部,普通院校
943,经济学,市场内生“链主”驱动县域产业链跃迁的识别、评估与路径研究,市场 内生 链主 驱动 县域 产业 链跃 识别 评估 路径 研究,青年基金项目,王英杰,厦门大学,福建,东部,双一流
944,经济学,数字经济背景下跨区域创新网络驱动关键核心技术突破的机制与路径研究,数字 经济 背景 区域 创新 网络 驱动 关键 核心 技术 突破 机制 路径 研究,青年基金项目,司海涛,厦门大学,福建,东部,双一流
945,经济学,上市公司退市风险与策略性并购重组：动机、路径与经济后果,上市 公司 退市 风险 策略性 并购 重组 动机 路径 经济 后果,规划基金项目,李东旭,厦门大学,福建,东部,双一流
946,经济学,数智化背景下创新激励税收政策的微观响应研究,数智化 背景 创新 激励 税收 政策 微观 响应 研究,规划基金项目,梁若冰,厦门大学,福建,东部,双一流
947,经济学,供应链视角下我国碳排放权交易对企业违约风险的影响研究,供应 链视 角下 我国 碳排 放权 交易 企业 违约 风险 影响 研究,青年基金项目,戚睿骅,山东财经大学,山东,东部,普通院校
948,经济学,“以数治税”背景下国际税收协调机制对虚假贸易的影响研究,数治税 背景 国际 税收 协调 机制 虚假 贸易 影响 研究,规划基金项目,李红,山东财经大学,山东,东部,普通院校
949,经济学,网络视角下创新关联与产业链韧性：机制与路径研究,网络 视角 创新 关联 产业 链韧性 机制 路径 研究,青年基金项目,胡亚男,山东财经大学,山东,东部,普通院校
950,经济学,数字经济驱动下绿色技术创新的动态协同与智能决策机制研究,数字 经济 驱动 绿色 技术 创新 动态 协同 智能 决策 机制 研究,青年基金项目,房甄,山东财经大学,山东,东部,普通院校
951,经济学,房地产市场与地方政府债务风险叠加、跨区域金融外溢与应对策略研究,房地产 市场 地方政府 债务 风险 叠加 跨区域 金融 外溢 应对 策略 研究,青年基金项目,刘建建,山东财经大学,山东,东部,普通院校
952,经济学,中美跨境审计监管与中国企业审计事务所选聘行为及后果研究——基于总体国家安全观视角,跨境 审计 监管 中国 企业 审计 事务所 选聘 行为 后果 研究 —— 基于 总体 国家 安全观 视角,青年基金项目,余渡,山东大学,山东,东部,双一流
953,经济学,数字信用平台促进科技型小微企业创新的机理与路径研究,数字 信用 平台 促进 科技型 小微 企业 创新 机理 路径 研究,青年基金项目,王晓晓,山东管理学院,山东,东部,普通院校
954,经济学,新型基础设施“内卷式”竞争的诱发机制与规制政策研究,新型 基础 设施 内卷式 竞争 诱发 机制 规制 政策 研究,青年基金项目,许冰,山东交通学院,山东,东部,普通院校
955,经济学,税收政策协同改革破解耐心资本“长钱短投”困境的机制与路径研究,税收 政策 协同 改革 破解 耐心 资本 短投 困境 机制 路径 研究,规划基金项目,李艳艳,山东女子学院,山东,东部,普通院校
956,经济学,“能一水一碳”纽带视角下黄河流域城市群新质生产力演化机制及跃迁路径研究,纽带 视角 黄河 流域 城市群 新质 生产力 演化 机制 跃迁 路径 研究,规划基金项目,刘秀丽,山西财经大学,山西,中部,普通院校
957,经济学,数字文旅场景的变革性旅游体验：生成逻辑、作用机制及培育路径,数字 文旅 场景 变革性 旅游 体验 生成 逻辑 作用 机制 培育 路径,青年基金项目,吴听阳,山西财经大学,山西,中部,普通院校
958,经济学,数据要素流通驱动制造业新质生产力提升机理与路径研究,数据 要素 流通 驱动 制造业 新质 生产力 提升 机理 路径 研究,青年基金项目,解萧语,山西财经大学,山西,中部,普通院校
959,经济学,中国家庭养老脆弱性测度、成因及基于保险保障视角的应对机制研究,中国 家庭 养老 脆弱性 测度 成因 基于 保险 保障 视角 应对 机制 研究,青年基金项目,王莉,山西财经大学,山西,中部,普通院校
960,经济学,扩大内需背景下中国家庭消费韧性研究：测度方法、影响因素与提升策略,扩大 内需 背景 中国 家庭 消费 韧性 研究 测度 方法 影响 因素 提升 策略,青年基金项目,郭润东,山西财经大学,山西,中部,普通院校
961,经济学,LMDI-EE-MRIO框架下黄河流域碳排放动因识别与低碳转型路径研究,LMD EE MRIO 框架 黄河 流域 碳排 放动 识别 低碳 转型 路径 研究,青年基金项目,狄子琛,山西大学,山西,中部,双一流
962,经济学,统一大市场视域下竞合关系对供应链韧性的影响研究,统一 市场 视域 竞合 关系 供应 链韧性 影响 研究,规划基金项目,宋小保,汕头大学,广东,东部,普通院校
963,经济学,中国国民收入分配的结构性矛盾和福利重构研究：理论、实证与政策,中国 国民 收入 分配 结构性 矛盾 福利 重构 研究 理论 实证 政策,规划基金项目,王宋涛,汕头大学,广东,东部,普通院校
964,经济学,大数据视域下药品集采改革的效果评价与政策优化研究,数据 视域 药品 集采 改革 效果 评价 政策 优化 研究,青年基金项目,诸宇灵,上海财经大学,上海,东部,双一流
965,经济学,人机共驾视角下智能驾驶汽车保险合约设计与制度优化研究,机共 驾视 角下 智能 驾驶 汽车 保险 合约 设计 制度 优化 研究,青年基金项目,徐炜,上海财经大学,上海,东部,双一流
